"57:0:0_0:0:0";"0"
"57:1:0_0:0:0";"0"
"57:2:0_0:0:0";"0"
"57:3:0_0:0:0";"0"
"57:4:0_0:0:0";"0"
"57:5:0_0:0:0";"0"
"57:6:0_0:0:0";"0"
"57:7:0_0:0:0";"0"
"57:8:0_0:0:0";"0"
"57:9:0_0:0:0";"0"
"57:10:0_0:0:0";"0"
"57:11:0_0:0:0";"0"
"57:12:0_0:0:0";"0"
"57:13:0_0:0:0";"0"
"57:14:0_0:0:0";"0"
"57:15:0_0:0:0";"0"
"57:16:0_0:0:0";"0"
"57:17:0_0:0:0";"0"
"57:18:0_0:0:0";"0"
"57:19:0_0:0:0";"0"
"57:20:0_0:0:0";"0"
"57:21:0_0:0:0";"0"
"57:22:0_0:0:0";"0"
"57:23:0_0:0:0";"0"
"57:24:0_0:0:0";"0"
"57:25:0_0:0:0";"0"
"57:26:0_0:0:0";"0"
"57:27:0_0:0:0";"0"
"57:28:0_0:0:0";"0"
"57:29:0_0:0:0";"0"
"57:30:0_0:0:0";"0"
"57:31:0_0:0:0";"0"
"57:32:0_0:0:0";"0"
"57:33:0_0:0:0";"0"
"57:34:0_0:0:0";"0"
"57:35:0_0:0:0";"0"
"57:36:0_0:0:0";"0"
"57:37:0_0:0:0";"0"
"57:38:0_0:0:0";"0"
"57:39:0_0:0:0";"0"
"57:40:0_0:0:0";"0"
"57:41:0_0:0:0";"0"
"57:42:0_0:0:0";"0"
"57:43:0_0:0:0";"0"
"57:44:0_0:0:0";"0"
"57:45:0_0:0:0";"0"
"57:46:0_0:0:0";"0"
"57:47:0_0:0:0";"0"
"57:48:0_0:0:0";"0"
"57:49:0_0:0:0";"0"
"57:50:0_0:0:0";"0"
"57:51:0_0:0:0";"0"
"57:52:0_0:0:0";"0"
"57:53:0_0:0:0";"0"
"57:54:0_0:0:0";"0"
"57:55:0_0:0:0";"112/1442445"
"57:56:0_0:0:0";"2/12995"
"0:57:0_0:0:0";"0"
"1:57:0_0:0:0";"0"
"2:57:0_0:0:0";"0"
"3:57:0_0:0:0";"0"
"4:57:0_0:0:0";"0"
"5:57:0_0:0:0";"0"
"6:57:0_0:0:0";"0"
"7:57:0_0:0:0";"0"
"8:57:0_0:0:0";"0"
"9:57:0_0:0:0";"0"
"10:57:0_0:0:0";"0"
"11:57:0_0:0:0";"0"
"12:57:0_0:0:0";"0"
"13:57:0_0:0:0";"0"
"14:57:0_0:0:0";"0"
"15:57:0_0:0:0";"0"
"16:57:0_0:0:0";"0"
"17:57:0_0:0:0";"0"
"18:57:0_0:0:0";"0"
"19:57:0_0:0:0";"0"
"20:57:0_0:0:0";"0"
"21:57:0_0:0:0";"0"
"22:57:0_0:0:0";"0"
"23:57:0_0:0:0";"0"
"24:57:0_0:0:0";"0"
"25:57:0_0:0:0";"0"
"26:57:0_0:0:0";"0"
"27:57:0_0:0:0";"0"
"28:57:0_0:0:0";"0"
"29:57:0_0:0:0";"0"
"30:57:0_0:0:0";"0"
"31:57:0_0:0:0";"0"
"32:57:0_0:0:0";"0"
"33:57:0_0:0:0";"0"
"34:57:0_0:0:0";"0"
"35:57:0_0:0:0";"0"
"36:57:0_0:0:0";"0"
"37:57:0_0:0:0";"0"
"38:57:0_0:0:0";"0"
"39:57:0_0:0:0";"0"
"40:57:0_0:0:0";"0"
"41:57:0_0:0:0";"0"
"42:57:0_0:0:0";"0"
"43:57:0_0:0:0";"0"
"44:57:0_0:0:0";"0"
"45:57:0_0:0:0";"0"
"46:57:0_0:0:0";"0"
"47:57:0_0:0:0";"0"
"48:57:0_0:0:0";"0"
"49:57:0_0:0:0";"0"
"50:57:0_0:0:0";"0"
"51:57:0_0:0:0";"0"
"52:57:0_0:0:0";"0"
"53:57:0_0:0:0";"0"
"54:57:0_0:0:0";"0"
"55:57:0_0:0:0";"-38/480815"
"56:57:0_0:0:0";"-2/12995"
"57:57:0_0:0:0";"2/1520415"
"57:0:1_0:0:0";"0"
"57:1:1_0:0:0";"0"
"57:2:1_0:0:0";"0"
"57:3:1_0:0:0";"0"
"57:4:1_0:0:0";"0"
"57:5:1_0:0:0";"0"
"57:6:1_0:0:0";"0"
"57:7:1_0:0:0";"0"
"57:8:1_0:0:0";"0"
"57:9:1_0:0:0";"0"
"57:10:1_0:0:0";"0"
"57:11:1_0:0:0";"0"
"57:12:1_0:0:0";"0"
"57:13:1_0:0:0";"0"
"57:14:1_0:0:0";"0"
"57:15:1_0:0:0";"0"
"57:16:1_0:0:0";"0"
"57:17:1_0:0:0";"0"
"57:18:1_0:0:0";"0"
"57:19:1_0:0:0";"0"
"57:20:1_0:0:0";"0"
"57:21:1_0:0:0";"0"
"57:22:1_0:0:0";"0"
"57:23:1_0:0:0";"0"
"57:24:1_0:0:0";"0"
"57:25:1_0:0:0";"0"
"57:26:1_0:0:0";"0"
"57:27:1_0:0:0";"0"
"57:28:1_0:0:0";"0"
"57:29:1_0:0:0";"0"
"57:30:1_0:0:0";"0"
"57:31:1_0:0:0";"0"
"57:32:1_0:0:0";"0"
"57:33:1_0:0:0";"0"
"57:34:1_0:0:0";"0"
"57:35:1_0:0:0";"0"
"57:36:1_0:0:0";"0"
"57:37:1_0:0:0";"0"
"57:38:1_0:0:0";"0"
"57:39:1_0:0:0";"0"
"57:40:1_0:0:0";"0"
"57:41:1_0:0:0";"0"
"57:42:1_0:0:0";"0"
"57:43:1_0:0:0";"0"
"57:44:1_0:0:0";"0"
"57:45:1_0:0:0";"0"
"57:46:1_0:0:0";"0"
"57:47:1_0:0:0";"0"
"57:48:1_0:0:0";"0"
"57:49:1_0:0:0";"0"
"57:50:1_0:0:0";"0"
"57:51:1_0:0:0";"0"
"57:52:1_0:0:0";"0"
"57:53:1_0:0:0";"0"
"57:54:1_0:0:0";"616/31445301"
"57:55:1_0:0:0";"0"
"57:56:1_0:0:0";"-1076/18751785"
"0:57:1_0:0:0";"0"
"1:57:1_0:0:0";"0"
"2:57:1_0:0:0";"0"
"3:57:1_0:0:0";"0"
"4:57:1_0:0:0";"0"
"5:57:1_0:0:0";"0"
"6:57:1_0:0:0";"0"
"7:57:1_0:0:0";"0"
"8:57:1_0:0:0";"0"
"9:57:1_0:0:0";"0"
"10:57:1_0:0:0";"0"
"11:57:1_0:0:0";"0"
"12:57:1_0:0:0";"0"
"13:57:1_0:0:0";"0"
"14:57:1_0:0:0";"0"
"15:57:1_0:0:0";"0"
"16:57:1_0:0:0";"0"
"17:57:1_0:0:0";"0"
"18:57:1_0:0:0";"0"
"19:57:1_0:0:0";"0"
"20:57:1_0:0:0";"0"
"21:57:1_0:0:0";"0"
"22:57:1_0:0:0";"0"
"23:57:1_0:0:0";"0"
"24:57:1_0:0:0";"0"
"25:57:1_0:0:0";"0"
"26:57:1_0:0:0";"0"
"27:57:1_0:0:0";"0"
"28:57:1_0:0:0";"0"
"29:57:1_0:0:0";"0"
"30:57:1_0:0:0";"0"
"31:57:1_0:0:0";"0"
"32:57:1_0:0:0";"0"
"33:57:1_0:0:0";"0"
"34:57:1_0:0:0";"0"
"35:57:1_0:0:0";"0"
"36:57:1_0:0:0";"0"
"37:57:1_0:0:0";"0"
"38:57:1_0:0:0";"0"
"39:57:1_0:0:0";"0"
"40:57:1_0:0:0";"0"
"41:57:1_0:0:0";"0"
"42:57:1_0:0:0";"0"
"43:57:1_0:0:0";"0"
"44:57:1_0:0:0";"0"
"45:57:1_0:0:0";"0"
"46:57:1_0:0:0";"0"
"47:57:1_0:0:0";"0"
"48:57:1_0:0:0";"0"
"49:57:1_0:0:0";"0"
"50:57:1_0:0:0";"0"
"51:57:1_0:0:0";"0"
"52:57:1_0:0:0";"0"
"53:57:1_0:0:0";"0"
"54:57:1_0:0:0";"-1064/52408835"
"55:57:1_0:0:0";"0"
"56:57:1_0:0:0";"142/2445885"
"57:57:1_0:0:0";"0"
"57:0:2_0:0:0";"0"
"57:1:2_0:0:0";"0"
"57:2:2_0:0:0";"0"
"57:3:2_0:0:0";"0"
"57:4:2_0:0:0";"0"
"57:5:2_0:0:0";"0"
"57:6:2_0:0:0";"0"
"57:7:2_0:0:0";"0"
"57:8:2_0:0:0";"0"
"57:9:2_0:0:0";"0"
"57:10:2_0:0:0";"0"
"57:11:2_0:0:0";"0"
"57:12:2_0:0:0";"0"
"57:13:2_0:0:0";"0"
"57:14:2_0:0:0";"0"
"57:15:2_0:0:0";"0"
"57:16:2_0:0:0";"0"
"57:17:2_0:0:0";"0"
"57:18:2_0:0:0";"0"
"57:19:2_0:0:0";"0"
"57:20:2_0:0:0";"0"
"57:21:2_0:0:0";"0"
"57:22:2_0:0:0";"0"
"57:23:2_0:0:0";"0"
"57:24:2_0:0:0";"0"
"57:25:2_0:0:0";"0"
